decision_id,symbol,entry_price,entry_time_utc,q_state,risk_action,final_signal,risk_level,paper_status,open_horizons,next_target_date_utc
046fecb9-b43e-41fe-bd26-e0125035168e,AAPL,312.05999755859375,2026-05-31 01:07:38,symbol=AAPL|validation=Low|model=HOLD|model_conf=Low|analyst=POSITIVE_BUT_ENTRY_RISK|trend=Positive|entry_risk=High|volatility=Low,BLOCK_TRADE,BLOCKED,Critical,PAPER_BLOCKED_NO_ENTRY,"1_day,7_day,30_day,1_month,6_month,1_year",2026-06-01 01:07:38
decision_20260531004419_1df636d782,UNKNOWN,,2026-05-31 00:44:19,,,,,PAPER_MONITOR_ONLY,,
decision_20260531004318_7b4c4da639,UNKNOWN,,2026-05-31 00:43:18,,,,,PAPER_MONITOR_ONLY,,
decision_20260531004127_6654930096,UNKNOWN,,2026-05-31 00:41:27,,,,,PAPER_MONITOR_ONLY,,
decision_20260531004055_fabb5c641e,UNKNOWN,,2026-05-31 00:40:55,,,,,PAPER_MONITOR_ONLY,,
decision_20260531004051_17018f651e,UNKNOWN,,2026-05-31 00:40:51,,,,,PAPER_MONITOR_ONLY,,
decision_20260531003954_c7d9c2dc99,UNKNOWN,,2026-05-31 00:39:54,,,,,PAPER_MONITOR_ONLY,,
decision_20260531003948_6532060bf4,UNKNOWN,,2026-05-31 00:39:48,,,,,PAPER_MONITOR_ONLY,,
decision_20260531003314_98c8d571d7,UNKNOWN,,2026-05-31 00:33:14,,,,,PAPER_MONITOR_ONLY,,
decision_20260531003246_a16cf2572f,UNKNOWN,,2026-05-31 00:32:46,,,,,PAPER_MONITOR_ONLY,,
